,Service ID,CustomerID,Count_x,Quarter,Referred a Friend,Number of Referrals,tenure,Offer,PhoneService,Avg Monthly Long Distance Charges,MultipleLines,InternetService,Internet Type,Avg Monthly GB Download,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,Total Revenue,Status ID,Count_y,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Count,gender,Age,Under 30,SeniorCitizen,Married,Dependents,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Churn,customerID
count,7043,7043,7043.0,7043,7043,7043.0,7043.0,3166,7043,7043.0,7043,7043,5517,7043.0,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043.0,7043.0,7043.0,7043.0,7043.0,7043.0,7043,7043.0,7043.0,7043,7043,7043.0,7043.0,7043.0,1869,1869,7043.0,7043,7043.0,7043,7043,7043,7043,7043.0,7043,7043,7043,7043,7043.0,7043,7043.0,7043.0,7043.0,7043.0,7043,7043
unique,7043,7043,,1,2,,,5,2,,2,2,3,,2,2,2,2,2,2,2,2,3,2,3,,,,,,,7043,,,3,2,,,,5,20,,2,,2,2,2,2,,7043,1,1,1106,,1679,,,,,2,7043
top,IJKDQVSWH3522,8779-QRDMV,,Q3,No,,,Offer B,Yes,,No,Yes,Fiber Optic,,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,,,,,,SWSORB1252,,,Stayed,No,,,,Competitor,Competitor had better devices,,Male,,No,No,No,No,,OXCZEW7397,United States,California,Los Angeles,,"33.362575, -117.299644",,,,,No,8779-QRDMV
freq,1,1,,7043,3821,,,824,6361,,4072,5517,3035,,5024,4614,4621,4999,4336,4311,4555,4745,3610,4171,3909,,,,,,,1,,,4720,5174,,,,841,313,,3555,,5642,5901,3641,5416,,1,7043,7043,293,,43,,,,,5174,1
mean,,,1.0,,,1.9518671020871787,32.38676700269772,,,22.958953570921484,,,,20.515405367031093,,,,,,,,,,,,64.76169246059918,2280.3812636660514,1.9621823086752805,6.860712764446968,749.099261678262,3034.3790558000846,,1.0,3.2449240380519666,,,0.2653698707936959,58.505040465710636,4400.295754650007,,,1.0,,46.50972596904728,,,,,0.4686923186142269,,,,,93486.07113445975,,36.19745482180889,-119.75668367414455,784.8012210705665,22139.814567655827,,
std,,,0.0,,,3.0011992998901,24.542061011425535,,,15.448113345456905,,,,20.418940392245453,,,,,,,,,,,,30.090047097678493,2266.2204619194617,7.902614384451006,25.1049779997244,846.660054798712,2865.2045415115304,,0.0,1.2016571225409585,,,0.441561305121947,21.170030779815324,1183.0571519525197,,,0.0,,16.750351655102637,,,,,0.9628019509440209,,,,,1856.7680449528345,,2.468928681585293,2.154425092169477,489.0445079681978,21152.174406626564,,
min,,,1.0,,,0.0,1.0,,,0.0,,,,0.0,,,,,,,,,,,,18.25,18.8,0.0,0.0,0.0,21.36,,1.0,1.0,,,0.0,5.0,2003.0,,,1.0,,19.0,,,,,0.0,,,,,90001.0,,32.555828,-124.301372,1.0,11.0,,
25%,,,1.0,,,0.0,9.0,,,9.21,,,,3.0,,,,,,,,,,,,35.5,400.15,0.0,0.0,70.545,605.61,,1.0,3.0,,,0.0,40.0,3469.0,,,1.0,,32.0,,,,,0.0,,,,,92101.0,,33.990646,-121.78809,353.0,2344.0,,
50%,,,1.0,,,0.0,29.0,,,22.89,,,,17.0,,,,,,,,,,,,70.35,1394.55,0.0,0.0,401.44,2108.64,,1.0,3.0,,,0.0,61.0,4527.0,,,1.0,,46.0,,,,,0.0,,,,,93518.0,,36.205465,-119.595293,759.0,17554.0,,
75%,,,1.0,,,3.0,55.0,,,36.394999999999996,,,,27.0,,,,,,,,,,,,89.85,3786.6,0.0,0.0,1191.1,4801.145,,1.0,4.0,,,1.0,75.5,5380.5,,,1.0,,60.0,,,,,0.0,,,,,95329.0,,38.161321,-117.969795,1208.0,36125.0,,
max,,,1.0,,,11.0,72.0,,,49.99,,,,85.0,,,,,,,,,,,,118.75,8684.8,49.79,150.0,3564.72,11979.34,,1.0,5.0,,,1.0,96.0,6500.0,,,1.0,,80.0,,,,,9.0,,,,,96150.0,,41.962127,-114.192901,1670.0,105285.0,,
